k,head,program,strategy,increase,kl_div,spike
1,"(15, 16)",prog_L14H29,smart,0.04383385870077548,0.0006893363053677604,False
2,"(8, 11)",prog_L14H29,smart,-0.08021195902813269,0.0009467394091188907,False
3,"(15, 20)",prog_L14H29,smart,-0.047885468548465336,0.0015178344794549048,False
4,"(11, 8)",prog_L14H29,smart,-0.1839003988431362,0.0019298539496958255,False
5,"(16, 28)",prog_L14H29,smart,0.2646359790864576,0.0029359230189584195,False
6,"(6, 11)",prog_L20H2,smart,0.1622105904787042,0.004227549675852061,False
7,"(8, 8)",prog_L16H19,smart,0.20614158147285838,0.005447930004447698,False
8,"(8, 19)",prog_L20H2,smart,0.008635160024740829,0.00637848125770688,False
9,"(11, 11)",prog_L14H29,smart,-0.21649303927256427,0.005974568892270327,False
10,"(8, 9)",prog_L14H29,smart,-0.1557823740547467,0.007067987788468599,False
11,"(7, 0)",prog_L20H2,smart,-0.1419949245692704,0.007844069413840771,False
12,"(14, 13)",prog_L14H29,smart,-0.09703039776552351,0.009586099721491336,False
13,"(11, 3)",prog_L14H29,smart,0.17054994813371513,0.008868511579930783,False
14,"(19, 12)",prog_L20H2,smart,0.1423529594771516,0.010420666262507438,False
15,"(15, 19)",prog_L14H29,smart,-0.08214411536543582,0.010418524034321308,False
16,"(11, 1)",prog_L20H2,smart,0.2750739511576971,0.011237946711480618,False
17,"(3, 16)",prog_L20H2,smart,0.39208140117384727,0.011140108667314052,False
18,"(11, 6)",prog_L20H2,smart,1.0319337242791886,0.011529084667563439,False
19,"(15, 8)",prog_L14H29,smart,1.1709954730274983,0.012637721188366414,False
20,"(6, 3)",prog_L20H2,smart,1.116937083665992,0.013180992193520069,False
21,"(5, 14)",prog_L20H2,smart,1.6391917200090476,0.014920619316399097,False
22,"(17, 22)",prog_L20H2,smart,1.385472969091385,0.015305395051836968,False
23,"(5, 20)",prog_L20H2,smart,1.1952868778484436,0.014937935583293437,False
24,"(19, 9)",prog_L20H2,smart,1.2571096932392614,0.014938781037926674,False
25,"(15, 21)",prog_L14H29,smart,1.4831110686538918,0.015019276551902295,False
26,"(8, 21)",prog_L20H2,smart,1.3241635159380767,0.01551526915282011,False
27,"(20, 10)",prog_L20H2,smart,1.0587723226542898,0.01565740443766117,False
28,"(20, 8)",prog_L20H2,smart,1.109163733858178,0.017310063354671,False
29,"(19, 11)",prog_L20H2,smart,0.8591067163062917,0.018193254619836806,False
30,"(8, 18)",prog_L20H2,smart,0.925690080061481,0.01847121138125658,False
31,"(3, 7)",prog_L20H2,smart,1.3338010827667959,0.01914212852716446,False
32,"(8, 27)",prog_L20H2,smart,1.1722142371762625,0.021072355285286903,False
33,"(4, 23)",prog_L20H2,smart,1.074202165624277,0.01912266854196787,False
34,"(20, 29)",prog_L14H29,smart,1.3282349724703144,0.02015096601098776,False
35,"(20, 16)",prog_L20H2,smart,1.195626013021693,0.021459003537893297,False
36,"(6, 25)",prog_L14H29,smart,1.044911789063588,0.020414722710847856,False
37,"(12, 5)",prog_L20H2,smart,0.9476481782827939,0.022668736800551415,False
38,"(21, 6)",prog_L20H2,smart,0.8733893386747031,0.022180067002773286,False
39,"(18, 23)",prog_L20H2,smart,0.4809385778024312,0.022247201576828957,False
40,"(5, 13)",prog_L20H2,smart,0.6746700010536123,0.020609813928604125,False
41,"(4, 28)",prog_L20H2,smart,1.3290666860261395,0.020029370114207266,False
42,"(18, 21)",prog_L14H29,smart,1.4518077736258905,0.02022552043199539,False
43,"(5, 15)",prog_L20H2,smart,1.5406887317342612,0.02019696682691574,False
44,"(8, 15)",prog_L20H2,smart,1.7730415300471587,0.0209481680765748,False
45,"(3, 4)",prog_L20H2,smart,1.7889437044523127,0.021807793714106082,False
46,"(20, 13)",prog_L20H2,smart,1.9678612885832845,0.022795769199728966,False
47,"(4, 4)",prog_L20H2,smart,1.6386573704912386,0.02293265163898468,False
48,"(6, 15)",prog_L20H2,smart,1.8129128141824573,0.023085373640060424,False
49,"(21, 25)",prog_L20H2,smart,1.6858423162253935,0.023542287573218346,False
50,"(0, 4)",prog_L1H30,smart,1.7434079905054591,0.023250036872923374,False
51,"(8, 25)",prog_L20H2,smart,1.821723960809986,0.02359594814479351,False
52,"(17, 3)",prog_L20H2,smart,1.847907211219045,0.023453891277313232,False
53,"(17, 2)",prog_L20H2,smart,2.3442197706060206,0.02454781290143728,False
54,"(19, 8)",prog_L20H2,smart,2.088957213846036,0.0253983436152339,False
55,"(8, 26)",prog_L20H2,smart,1.9954728756980689,0.026953576877713204,False
56,"(11, 15)",prog_L14H29,smart,2.3545065684656508,0.02934866361320019,False
57,"(5, 22)",prog_L6H19,smart,2.5315038058000305,0.02908577099442482,False
58,"(18, 30)",prog_L20H2,smart,2.474556781101934,0.02797379270195961,False
59,"(21, 1)",prog_L20H2,smart,2.4214715614679228,0.02875649482011795,False
60,"(7, 24)",prog_L20H2,smart,2.7062623727240087,0.029957956075668334,False
61,"(9, 0)",prog_L20H2,smart,2.985158778597952,0.031121398508548736,False
